datetime,filename,exported,new,updated,skipped,exif_updated,touched,converted_to_jpeg,sidecar_xmp,sidecar_json,sidecar_exiftool,missing,error,exiftool_warning,exiftool_error,extended_attributes_written,extended_attributes_skipped,cleanup_deleted_file,cleanup_deleted_directory,exported_album,sidecar_user,sidecar_user_error,user_written,user_skipped,user_error
2024-06-23T11:37:28.617675,/Users/sglavoie/Pictures/export/2024/05/Yuna/2024-05-21-084140_IMG_2557.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.620776,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-14-181517_IMG_4553.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.623012,/Users/sglavoie/Pictures/export/2024/05/Yuna/2024-05-05-191155_IMG_2404.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.625533,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-10-172445_IMG_2115.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.628131,/Users/sglavoie/Pictures/export/2023/11/Pregnancy_Yuna/2023-11-11-170650_IMG_1270.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.630662,/Users/sglavoie/Pictures/export/2022/03/Marriage/2022-03-27-172549_IMG_0222.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.633102,/Users/sglavoie/Pictures/export/2024/05/Yuna/2024-05-14-152900_IMG_5051.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.635131,/Users/sglavoie/Pictures/export/2023/12/Pregnancy_Yuna/2023-12-18-181008_PHOTO-2023-12-18-13-56-39.jpg,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.637091,/Users/sglavoie/Pictures/export/2023/07/2023-07-01-195638_2023-07-01 at 19.53.08.gif,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.639087,/Users/sglavoie/Pictures/export/2022/12/San_Diego_Yuna/2022-12-17-091902_IMG_0727.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.641303,/Users/sglavoie/Pictures/export/2024/05/Yuna/2024-05-03-121915_IMG_4922.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.643187,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-26-204738_IMG_2307.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.645423,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-17-154538_IMG_2171.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.647706,/Users/sglavoie/Pictures/export/2024/05/Yuna/2024-05-05-102458_IMG_4963.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.649734,/Users/sglavoie/Pictures/export/2023/04/2023-04-09-095822_IMG_0869.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
